"target","CRIM","ZN","INDUS","CHAS","NOX","RM","AGE","DIS","RAD","TAX","PTRATIO","B","LSTAT"
19.5,34,0,5.19,0,515,5869,46.3,5231,5,224,20.2,396898,9.8
18.5,0.03,0,5.19,0,515,5895,59.6,5615,5,224,20.2,394809,10.56
20.6,33,0,5.19,0,515,6059,37.3,4812,5,224,20.2,396139,8.51
19,55,0,5.19,0,515,5985,45.4,4812,5,224,20.2,396898,9.74
18.7,62,0,5.19,0,515,5968,58.5,4812,5,224,20.2,396898,9.29
32.7,13,35,1.52,0,442,7241,49.3,7038,1,284,15.5,394738,5.49
16.5,25,0,1.89,0,518,6.54,59.7,6267,1,422,15.9,389959,8.65
23.9,25,55,3.78,0,484,6696,56.4,5732,5,370,17.6,396898,7.18
31.2,0.03,55,3.78,0,484,6874,28.1,6465,5,370,17.6,387969,4.61
17.5,31,0,4.39,0,442,6014,48.5,8014,3,352,18.8,385639,10.53
17.2,62,0,4.39,0,442,5898,52.3,8014,3,352,18.8,364609,12.67
23.1,19,85,4.15,0,429,6516,27.7,8535,4,351,17.9,392.43,6.36
24.5,15,80,2.01,0,435,6635,29.7,8344,4,280,17,390939,5.99
26.6,29,40,1.25,0,429,6939,34.5,8792,1,335,19.7,389.85,5.89
22.9,62,40,1.25,0,429,6.49,44.4,8792,1,335,19.7,396898,5.98
24.1,79,60,1.69,0,411,6579,35.9,10.71,4,411,18.3,370779,5.49
18.6,72,60,1.69,0,411,5884,18.5,10.71,4,411,18.3,392328,7.79
30.1,17,90,2.02,0,0.41,6728,36.1,12126,5,187,17,384459,4.5
18.2,43,80,1.91,0,413,5663,21.9,10586,4,334,22,382799,8.05
20.6,107,80,1.91,0,413,5936,19.5,10586,4,334,22,376039,5.57
17.8,8983,0,18.1,1,0.77,6212,97.4,2122,24,666,20.2,377729,17.6
21.7,3.85,0,18.1,1,0.77,6395,91,2505,24,666,20.2,391.34,13.27
22.7,5202,0,18.1,1,0.77,6127,83.4,2723,24,666,20.2,395.43,11.48
22.6,4261,0,18.1,0,0.77,6112,81.3,2509,24,666,20.2,390738,12.67
25,4542,0,18.1,0,0.77,6398,88,2518,24,666,20.2,374559,7.79
19.9,3837,0,18.1,0,0.77,6251,91.1,2295,24,666,20.2,350648,14.19
20.8,3678,0,18.1,0,0.77,5362,96.2,2104,24,666,20.2,380789,10.19
16.8,4222,0,18.1,1,0.77,5803,89,1905,24,666,20.2,353039,14.64
21.9,3474,0,18.1,1,718,8.78,82.9,1905,24,666,20.2,354549,5.29
27.5,4556,0,18.1,0,718,3561,87.9,1613,24,666,20.2,354699,7.12
21.9,3697,0,18.1,0,718,4963,91.4,1752,24,666,20.2,316029,14
23.1,13522,0,18.1,0,631,3863,100,1511,24,666,20.2,131.42,13.33
50,4898,0,18.1,0,631,4.97,100,1332,24,666,20.2,375.52,3.26
50,5.67,0,18.1,1,631,6683,96.8,1357,24,666,20.2,375328,3.73
50,6539,0,18.1,1,631,7016,97.5,1202,24,666,20.2,392049,2.96
50,9232,0,18.1,0,631,6216,100,1169,24,666,20.2,366148,9.53
50,8267,0,18.1,1,668,5875,89.6,1.13,24,666,20.2,347879,8.88
13.8,11108,0,18.1,0,668,4906,100,1174,24,666,20.2,396898,34.77
13.8,18498,0,18.1,0,668,4138,100,1137,24,666,20.2,396898,37.97
15,19609,0,18.1,0,671,7313,97.9,1316,24,666,20.2,396898,13.44
13.9,15288,0,18.1,0,671,6649,93.3,1345,24,666,20.2,363.02,23.24
13.3,9823,0,18.1,0,671,6794,98.8,1358,24,666,20.2,396898,21.24
13.1,23648,0,18.1,0,671,6.38,96.2,1386,24,666,20.2,396898,23.69
10.2,17867,0,18.1,0,671,6223,100,1386,24,666,20.2,393738,21.78
10.4,88976,0,18.1,0,671,6968,91.9,1416,24,666,20.2,396898,17.21
10.9,15874,0,18.1,0,671,6545,99.1,1519,24,666,20.2,396898,21.08
11.3,9187,0,18.1,0,0.7,5536,100,1.58,24,666,20.2,396898,23.6
12.3,7992,0,18.1,0,0.7,5.52,100,1533,24,666,20.2,396898,24.56
8.8,20085,0,18.1,0,0.7,4368,91.2,1439,24,666,20.2,285828,30.63
7.2,16812,0,18.1,0,0.7,5277,98.1,1426,24,666,20.2,396898,30.81
10.5,24394,0,18.1,0,0.7,4652,100,1467,24,666,20.2,396898,28.28
7.4,22597,0,18.1,0,0.7,5,89.5,1518,24,666,20.2,396898,31.99
10.2,14334,0,18.1,0,0.7,4.88,100,1589,24,666,20.2,372.92,30.62
11.5,8152,0,18.1,0,0.7,5.39,98.9,1728,24,666,20.2,396898,20.85
15.1,6962,0,18.1,0,0.7,5713,97,1926,24,666,20.2,394.43,17.11
23.2,5293,0,18.1,0,0.7,6051,82.5,2168,24,666,20.2,378379,18.76
9.7,11578,0,18.1,0,0.7,5036,97,1.77,24,666,20.2,396898,25.68
13.8,8645,0,18.1,0,693,6193,92.6,1791,24,666,20.2,396898,15.17
12.7,13.36,0,18.1,0,693,5887,94.7,1782,24,666,20.2,396898,16.35
13.1,8717,0,18.1,0,693,6471,98.8,1726,24,666,20.2,391979,17.12
12.5,5872,0,18.1,0,693,6405,96,1677,24,666,20.2,396898,19.37
8.5,7672,0,18.1,0,693,5747,98.9,1633,24,666,20.2,393.1,19.92
5,38352,0,18.1,0,693,5453,100,1.49,24,666,20.2,396898,30.59
6.3,9917,0,18.1,0,693,5852,77.8,1.5,24,666,20.2,338158,29.97
5.6,25046,0,18.1,0,693,5987,100,1589,24,666,20.2,396898,26.77
7.2,14236,0,18.1,0,693,6343,100,1574,24,666,20.2,396898,20.32
12.1,9596,0,18.1,0,693,6404,100,1639,24,666,20.2,376109,20.31
8.3,24802,0,18.1,0,693,5349,96,1703,24,666,20.2,396898,19.77
8.5,41529,0,18.1,0,693,5531,85.4,1607,24,666,20.2,329459,27.38
5,67.92,0,18.1,0,693,5683,100,1425,24,666,20.2,384969,22.98
11.9,20716,0,18.1,0,659,4138,100,1178,24,666,20.2,370219,23.34
27.9,11951,0,18.1,0,659,5608,100,1285,24,666,20.2,332.09,12.13
17.2,7404,0,18.1,0,597,5617,97.9,1455,24,666,20.2,314639,26.4
27.5,14438,0,18.1,0,597,6852,100,1465,24,666,20.2,179359,19.78
15,51136,0,18.1,0,597,5757,100,1413,24,666,20.2,2.6,10.11
17.2,14051,0,18.1,0,597,6657,100,1527,24,666,20.2,35.05,21.22
17.9,18811,0,18.1,0,597,4628,100,1554,24,666,20.2,28.79,34.37
16.3,28656,0,18.1,0,597,5155,100,1589,24,666,20.2,210.97,20.08
7,45746,0,18.1,0,693,4519,100,1658,24,666,20.2,88.27,36.98
7.2,18085,0,18.1,0,679,6434,100,1835,24,666,20.2,27.25,29.05
7.5,10834,0,18.1,0,679,6782,90.8,1819,24,666,20.2,21.57,25.79
10.4,25941,0,18.1,0,679,5304,89.1,1647,24,666,20.2,127.36,26.64
8.8,73534,0,18.1,0,679,5957,100,1803,24,666,20.2,16.45,20.62
8.4,11812,0,18.1,0,718,6824,76.5,1794,24,666,20.2,48.45,22.74
16.7,11087,0,18.1,0,718,6411,100,1859,24,666,20.2,318.75,15.02
14.2,7023,0,18.1,0,718,6006,95.3,1875,24,666,20.2,319979,15.7
20.8,12048,0,18.1,0,614,5648,87.6,1951,24,666,20.2,291549,14.1
13.4,7.05,0,18.1,0,614,6103,85.1,2022,24,666,20.2,2.52,23.29
11.7,8792,0,18.1,0,584,5565,70.6,2063,24,666,20.2,3.65,17.16
8.3,15.86,0,18.1,0,679,5896,95.4,1.91,24,666,20.2,7.68,24.39
10.2,12247,0,18.1,0,584,5837,59.7,1998,24,666,20.2,24.65,15.69
10.9,37662,0,18.1,0,679,6202,78.7,1863,24,666,20.2,18.82,14.52
11,7367,0,18.1,0,679,6193,78.1,1936,24,666,20.2,96.73,21.52
9.5,9339,0,18.1,0,679,6.38,95.6,1968,24,666,20.2,60.72,24.08
14.5,8492,0,18.1,0,584,6348,86.1,2053,24,666,20.2,83.45,17.64
14.1,10062,0,18.1,0,584,6833,94.3,2088,24,666,20.2,81.33,19.69
16.1,6444,0,18.1,0,584,6425,74.8,2.2,24,666,20.2,97.95,12.03
14.3,5581,0,18.1,0,713,6436,87.9,2316,24,666,20.2,100.19,16.22
11.7,13913,0,18.1,0,713,6208,95,2222,24,666,20.2,100.63,15.17
13.4,11.16,0,18.1,0,0.74,6629,94.6,2125,24,666,20.2,109.85,23.27
9.6,14421,0,18.1,0,0.74,6461,93.3,2003,24,666,20.2,27.49,18.05
8.7,15177,0,18.1,0,0.74,6152,100,1914,24,666,20.2,9.32,26.45
8.4,13678,0,18.1,0,0.74,5935,87.9,1821,24,666,20.2,68.95,34.02
12.8,9391,0,18.1,0,0.74,5627,93.9,1817,24,666,20.2,396898,22.88
10.5,22051,0,18.1,0,0.74,5818,92.4,1866,24,666,20.2,391449,22.11
17.1,9724,0,18.1,0,0.74,6406,97.2,2065,24,666,20.2,385959,19.52
18.4,5666,0,18.1,0,0.74,6219,100,2005,24,666,20.2,395689,16.59
15.4,9966,0,18.1,0,0.74,6485,100,1978,24,666,20.2,386729,18.85
10.8,12802,0,18.1,0,0.74,5854,96.6,1896,24,666,20.2,240.52,23.79
11.8,10672,0,18.1,0,0.74,6459,94.8,1988,24,666,20.2,43.06,23.98
14.9,6288,0,18.1,0,0.74,6341,96.4,2072,24,666,20.2,318.01,17.79
12.6,9925,0,18.1,0,0.74,6251,96.6,2198,24,666,20.2,388.52,16.44
14.1,9329,0,18.1,0,713,6185,98.7,2262,24,666,20.2,396898,18.13
13,7526,0,18.1,0,713,6417,98.3,2185,24,666,20.2,304209,19.31
13.4,6718,0,18.1,0,713,6749,92.6,2324,24,666,20.2,0.32,17.44
15.2,5441,0,18.1,0,713,6655,98.2,2355,24,666,20.2,355289,17.73
16.1,5.09,0,18.1,0,713,6297,91.8,2368,24,666,20.2,385.09,17.27
17.8,8248,0,18.1,0,713,7393,99.3,2453,24,666,20.2,375869,16.74
14.9,9514,0,18.1,0,713,6728,94.1,2496,24,666,20.2,6.68,18.71
14.1,4752,0,18.1,0,713,6525,86.5,2436,24,666,20.2,50.92,18.13
12.7,4669,0,18.1,0,713,5976,87.9,2581,24,666,20.2,10.48,19.01
13.5,8201,0,18.1,0,713,5936,80.3,2779,24,666,20.2,3.5,16.94
14.9,7752,0,18.1,0,713,6301,83.7,2783,24,666,20.2,272209,16.23
20,6801,0,18.1,0,713,6081,84.4,2717,24,666,20.2,396898,14.7
16.4,4812,0,18.1,0,713,6701,90,2597,24,666,20.2,255229,16.42
17.7,3693,0,18.1,0,713,6376,88.4,2567,24,666,20.2,391.43,14.65
19.5,6655,0,18.1,0,713,6317,83,2734,24,666,20.2,396898,13.99
20.2,5821,0,18.1,0,713,6513,89.9,2802,24,666,20.2,393818,10.29
21.4,7839,0,18.1,0,655,6209,65.4,2963,24,666,20.2,396898,13.22
19.9,3164,0,18.1,0,655,5759,48.2,3066,24,666,20.2,334398,14.13
19,3775,0,18.1,0,655,5952,84.7,2871,24,666,20.2,22.01,17.15
19.1,4422,0,18.1,0,584,6003,94.5,2.54,24,666,20.2,331289,21.32
19.1,15576,0,18.1,0,0.58,5926,71,2908,24,666,20.2,368738,18.13
20.1,13075,0,18.1,0,0.58,5713,56.7,2824,24,666,20.2,396898,14.76
19.9,4349,0,18.1,0,0.58,6167,84,3033,24,666,20.2,396898,16.29
19.6,4038,0,18.1,0,532,6229,90.7,3099,24,666,20.2,395328,12.87
23.2,3569,0,18.1,0,0.58,6437,75,2896,24,666,20.2,393369,14.36
29.8,4647,0,18.1,0,614,6.98,67.6,2533,24,666,20.2,374.68,11.66
13.8,8056,0,18.1,0,584,5427,95.4,2.43,24,666,20.2,352578,18.14
13.3,6393,0,18.1,0,584,6162,97.4,2206,24,666,20.2,302.76,24.1
16.7,4871,0,18.1,0,614,6484,93.6,2305,24,666,20.2,396209,18.68
12,15023,0,18.1,0,614,5304,97.3,2101,24,666,20.2,349479,24.91
14.6,10233,0,18.1,0,614,6185,96.7,2.17,24,666,20.2,379699,18.03
21.4,14334,0,18.1,0,614,6229,88,1951,24,666,20.2,383318,13.11
23,5824,0,18.1,0,532,6242,64.7,3424,24,666,20.2,396898,10.74
23.7,5708,0,18.1,0,532,6.75,74.9,3332,24,666,20.2,393068,7.74
25,5731,0,18.1,0,532,7061,77,3411,24,666,20.2,395279,7.01
21.8,2818,0,18.1,0,532,5762,40.3,4098,24,666,20.2,392.92,10.42
20.6,2379,0,18.1,0,583,5871,41.9,3724,24,666,20.2,370729,13.34
21.2,3674,0,18.1,0,583,6312,51.9,3992,24,666,20.2,388619,10.58
19.1,5692,0,18.1,0,583,6114,79.8,3546,24,666,20.2,392.68,14.98
20.6,4836,0,18.1,0,583,5905,53.2,3152,24,666,20.2,388219,11.45
15.2,151,0,27.74,0,609,5454,92.7,1821,4,711,20.1,395.09,18.06
7,183,0,27.74,0,609,5414,98.3,1755,4,711,20.1,344049,23.97
8.1,207,0,27.74,0,609,5093,98,1823,4,711,20.1,318.43,29.68
13.6,106,0,27.74,0,609,5983,98.8,1868,4,711,20.1,390109,18.07
20.1,111,0,27.74,0,609,5983,83.5,2.11,4,711,20.1,396898,13.35
21.8,173,0,9.69,0,585,5707,54,2382,6,391,19.2,396898,12.01
24.5,0.28,0,9.69,0,585,5926,42.6,2382,6,391,19.2,396898,13.59
23.1,179,0,9.69,0,585,5.67,28.8,2799,6,391,19.2,393289,17.6
19.7,0.29,0,9.69,0,585,5.39,72.9,2799,6,391,19.2,396898,21.14
18.3,268,0,9.69,0,585,5794,70.6,2893,6,391,19.2,396898,14.1
21.2,239,0,9.69,0,585,6019,65.3,2409,6,391,19.2,396898,12.92
17.5,178,0,9.69,0,585,5569,73.5,2.4,6,391,19.2,395.77,15.1
16.8,224,0,9.69,0,585,6027,79.7,2498,6,391,19.2,396898,14.33
22.4,63,0,11.93,0,573,6593,69.1,2479,1,273,21,391988,9.67
20.6,45,0,11.93,0,573,6.12,76.7,2287,1,273,21,396898,9.08
23.9,61,0,11.93,0,573,6976,91,2167,1,273,21,396898,5.64
22,0.11,0,11.93,0,573,6794,89.3,2389,1,273,21,393449,6.48
11.9,47,0,11.93,0,573,6.03,80.8,2505,1,273,21,396898,7.88
